110 | 애플씨드 립 앤 아이 메이크업 리무버 티슈 30매 | 4,000 | 39 | 4.56 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
111 | 애플씨드 립 앤 아이 메이크업 리무버 | 6,500 | 57 | 4.79 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
112 | 그린티 퓨어 젤 핸드크림 50ml | 6,000 | 26 | 4.35 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
113 | 카멜리아 에센셜 헤어 오일 세럼 100ml | 10,000 | 34 | 4.65 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
114 | 그린티 립 슬리핑 마스크17g | 12,000 | 1 | 5.00 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
115 | 그린티 씨드 아이 크림 30mL | 22,000 | 24 | 4.62 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
116 | 마이 헤어 레시피 리프레싱 샴푸(지성두피용) 330mL | 10,000 | 67 | 4.81 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
117 | 마이 헤어 레시피 리페어링 샴푸 (극손상모발용) 330mL | 10,000 | 14 | 4.64 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
118 | 제주 용암해수 스킨 | 23,000 | 10 | 4.90 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
119 | 마이 에센셜 바디 리프레싱 시트러스 바디 로션 | 14,000 | 9 | 4.67 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
